transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 1256,vertica_writer,vertica_writer,partners.partners_segmentation_property,dm_maker_sandbox.b2b_product_metrics_dashboard_br,3720387005656812953,8795927902201545746
iterator_v1: 63,vertica_writer,vertica_writer,v_catalog.users,analytics.vertica_query_requests_agg,8612704451783771739,8928890771645444861
iterator_v2: 1314,vertica_writer,vertica_writer,diadmin.tpp_overrideentity,analytics.order_extra_profit_override,5747704190535242656,3200955525463500042
iterator_v2: 806,vertica_writer,vertica_writer,antifraud.fraudulent_orders,dm_maker_sandbox.order_descriptive_attributes_v8,3723766020496614965,2313757512480639509
iterator_v2: 1103,vertica_writer,vertica_writer,avia.avia_add_service_history,dm_maker_sandbox.historical_data_completeness,2844345327084009114,1564456047364042239
iterator_v2: 198,vertica_writer,vertica_writer,content.otahotel_matching,dm_maker_sandbox.hotel_bookable,8914533537579993877,5130215879968358154
iterator_v2: 1375,vertica_writer,vertica_writer,analytics.hit_funnel,analytics.order_session,3146418025069425003,382880693184718366
iterator_v1: 21,vertica_writer,vertica_writer,analytics.currency_converter,analytics.cpc_cost,2726130926009016445,8128685429692210711
iterator_v2: 712,vertica_writer,vertica_writer,partners.partners_legalentity,dm_maker_sandbox.partners_looks_chain,6162221062621491728,2654560944910036861
iterator_v2: 1072,vertica_writer,vertica_writer,extranet.hotels_hotel_history,dm_maker_sandbox.extranet_hotel_parameter_tracker,4839811413944196900,1456343106696941450
iterator_v2: 1179,vertica_writer,vertica_writer,analytics.sessions,dm_maker_sandbox.attribution_order_hotel_channels_mk_v1,5891324045777245671,4564344744701387725
iterator_v2: 1654,vertica_writer,vertica_writer,extranet.hotels_roomcategory,dm_maker_sandbox.apart_fraud_RnA,5749005923391506721,4995693623981707413
iterator_v2: 1431,vertica_writer,vertica_writer,accota.api_booking,analytics.order_vat,3734936741262710070,3476331461349599982
iterator_v2: 603,vertica_writer,vertica_writer,analytics.currency_converter,analytics.session_yield,2726130926009016445,8582445295319135111
iterator_v2: 61,vertica_writer,vertica_writer,public.region,analytics.kpis_attribution_normalized,4143286934503637128,6659212017573164155
iterator_v2: 771,vertica_writer,vertica_writer,static.supplier,dm_maker_sandbox.order_descriptive_attributes,3455172587319994382,6645165566498032076
iterator_v2: 1002,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.cancellation_model_basket_features,3120000265886404500,4804368356747352961
iterator_v2: 1472,vertica_writer,vertica_writer,crm.chats_chat,dm_maker_sandbox.opscost_front_chats,8217550883687637614,6214463500236397845
iterator_v2: 1102,vertica_writer,vertica_writer,partners.avia_orderitem,dm_maker_sandbox.historical_data_completeness,2408181764072403202,1564456047364042239
iterator_v2: 1638,vertica_writer,vertica_writer,partners.partners_manager,dm_maker_sandbox.b2b_managers_financial_metrics_v2,1599781389087840732,8562266552382732631
iterator_v2: 767,vertica_writer,vertica_writer,analytics.rate_abnormally_by_country,analytics.order_base,4135503363515463428,9030169330647550503
iterator_v2: 1033,vertica_writer,vertica_writer,analytics.hit_funnel,dm_maker_sandbox.b2b_registration_form_channel_v2,3146418025069425003,7285098710611931265
iterator_v2: 1011,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.b2b_market_dashboard_v2,3120000265886404500,1632085184316148603
iterator_v2: 442,vertica_writer,vertica_writer,analytics.ota_users,dm_maker_sandbox.potential_visa_metrics,8672093173837700470,5840545503096915888
iterator_v2: 464,vertica_writer,vertica_writer,actualize.upsell,public.upsell,1356171870477528069,3596258559765324865
iterator_v2: 842,vertica_writer,vertica_writer,partners.order_metaorder,dm_maker_sandbox.b2b_partner_credit_risk,2910863334397978232,7618825696526860547
iterator_v1: 60,vertica_writer,vertica_writer,analytics.sessions,fortemp.product_sessions,5891324045777245671,1805024841262406082
iterator_v2: 1101,vertica_writer,vertica_writer,ostrota.fidelity_fidelityaccount,dm_maker_sandbox.historical_data_completeness,986520520624062305,1564456047364042239
iterator_v1: 138,vertica_writer,vertica_writer,v_internal.dc_lock_releases,monitoring.dc_lock_releases,7851091548628528556,53192964514010654
iterator_v2: 1161,vertica_writer,vertica_writer,analytics.product_sessions,dm_maker_sandbox.hotelpage_show_dashboard_data_v2,3502172141479995682,5844351497714771790
iterator_v2: 1574,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.attribution_order_hotel_channels,3120000265886404500,8264923745987785872
iterator_v2: 1221,vertica_writer,vertica_writer,analytics.sessions,dm_maker_sandbox.session_multichannel_v2,5891324045777245671,7203057405901270778
iterator_v2: 1278,vertica_writer,vertica_writer,diadmin.tpp_financialterm,analytics.payment_delays_snapshot,3909881403593978444,2916132435073081966
iterator_v2: 1264,vertica_writer,vertica_writer,crm.leads_lead,dm_maker_sandbox.b2b_market_dashboard_v4,5370842900631881832,2117084148280506060
iterator_v2: 1148,vertica_writer,vertica_writer,static.geo_info,dm_maker_sandbox.b2b_product_monitoring_tool_v2,6043877432539830984,2303776118830060258
iterator_v2: 1436,vertica_writer,vertica_writer,static.market_to_country,analytics.kpis_revenue_multichannel,6753408543983732096,9138292258282026373
iterator_v2: 1167,vertica_writer,vertica_writer,weblogs2.hc_event,dm_maker_sandbox.b2b_registration_form_channel_v6,7147512082231993025,8584611265011474258
iterator_v2: 989,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.session_channel_level_v3,3120000265886404500,1517646451739330792
iterator_v2: 868,vertica_writer,vertica_writer,dm_maker_sandbox.ops_costs_front_office_action_log,dm_maker_sandbox.ops_costs_front_office_final,8234408049255584283,964063443593490117
iterator_v2: 1376,vertica_writer,vertica_writer,static.smearing_channels_excluded,dm_maker_sandbox.attribution_proportion_smearing_test,2211850415045728178,3496243516597751388
iterator_v2: 359,vertica_writer,vertica_writer,weblogs2.hit_funnel_rate,dm_maker_sandbox.webuser_info_v2,5250396001586589285,9010400462472044417
iterator_v2: 886,vertica_writer,vertica_writer,ppc.yandex_stat,analytics.cost_marketing,3490231497147080392,234807436032444958
