transport_,new_source,new_destination
iterator_v2: 1615,vertica_writer.crm.tpp_tpp,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v1
iterator_v2: 1042,vertica_writer.hotcore.request_source,vertica_writer.dm_maker_sandbox.extranet_availability_metric_serp
iterator_v2: 280,vertica_writer.analytics.currency_history,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1489,vertica_writer.hotcore.hotel_bans,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds
iterator_v2: 802,vertica_writer.public.booking_cancellation,vertica_writer.dm_maker_sandbox.bandit_iterator_v2
iterator_v2: 1289,vertica_writer.analytics.ticket,vertica_writer.dm_maker_sandbox.antifraud_too_many_cards
iterator_v2: 1125,vertica_writer.mailota.mail_mailhistory_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 975,vertica_writer.partners.order_upsellorderitem,vertica_writer.dm_maker_sandbox.b2b_partner_credit_risk
iterator_v2: 176,vertica_writer.criteo.report_ostrovok_category_daily,vertica_writer.dm_maker_sandbox.cost_per_session_
iterator_v2: 941,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.fraudulent_orders
iterator_v2: 1587,vertica_writer.payota.payment_log,vertica_writer.dm_maker_sandbox.booking_process
iterator_v2: 1396,vertica_writer.analytics.upsell,vertica_writer.analytics.session_yield
iterator_v2: 1348,vertica_writer.analytics.attribution_order_hotel_channels,vertica_writer.dm_maker_sandbox.blog_article_economics_v6
iterator_v2: 891,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.search_destination_v2
iterator_v2: 712,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.partners_looks_chain
iterator_v2: 1056,vertica_writer.public.booking,vertica_writer.analytics.cost_marketing
iterator_v2: 290,vertica_writer.analytics.order_item_taxes,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 979,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.b2b_product_monitoring
iterator_v2: 152,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.ordergroup_payment
iterator_v2: 298,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 504,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.matching_dashboard_data
iterator_v2: 1161,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_data_v2
iterator_v2: 563,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.booking_channels
iterator_v2: 909,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.b2b_kind_self_calculations
iterator_v2: 1493,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.order_repeat_webuser
iterator_v2: 635,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.booking_channels_v7
iterator_v2: 51,vertica_writer.analytics.kpis_sessions,vertica_writer.dimensions.session_channel_type
iterator_v2: 1272,vertica_writer.ostrota.orders_orderitem,vertica_writer.dm_maker_sandbox.order_commission_v5
iterator_v2: 1514,vertica_writer.hotcore.hotel_bans_country_ids,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds_dashboard
iterator_v2: 1102,vertica_writer.partners.avia_orderitem_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 117,vertica_writer.hotcore.lowrates,vertica_writer.hotcore.lowrates_history
iterator_v2: 820,vertica_writer.google_spreadsheet.operations_timetable,vertica_writer.dm_maker_sandbox.ops_costs_incident_prevention_employee_data
iterator_v2: 61,vertica_writer.dimensions.session_partner,vertica_writer.analytics.kpis_attribution_normalized
iterator_v2: 1092,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.cancellation_dashboard_net_bookings_daily_v100_utc
iterator_v2: 648,vertica_writer.analytics.supplier_otahotel_pricing_history,vertica_writer.analytics.uniue_hotels_by_provider
iterator_v1: 115,vertica_writer.metasearch.reports_trivago_daily,vertica_writer.fortemp.dapi_session_cost
iterator_v2: 1178,vertica_writer.analytics.discrepancy_hunter,vertica_writer.dm_maker_sandbox.discrepancy_tool_v3
iterator_v2: 1650,vertica_writer.extranet.hotels_roomallotmentplan,vertica_writer.dm_maker_sandbox.apart_fraud_RnA
iterator_v2: 754,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.l2b
iterator_v2: 1152,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.bar_prices2
iterator_v2: 81,vertica_writer.public.booking,vertica_writer.attribution.booking_channels_not_paid
iterator_v2: 764,vertica_writer.analytics.ota_users,vertica_writer.dm_maker_sandbox.b2b_chrome_extension
iterator_v2: 259,vertica_writer.static.brand_name,vertica_writer.dm_maker_sandbox.meta_costs
iterator_v2: 1183,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.discrepancy_tool_v4
iterator_v2: 420,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandmox.webuser_info
iterator_v2: 457,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.bar_price_difference
iterator_v2: 1199,vertica_writer.hotcore.request_otahotel,vertica_writer.dm_maker_sandbox.b2b_api_requests_for_ab_v2
iterator_v2: 985,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v2
iterator_v2: 357,vertica_writer.analytics.order_item_taxes,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1410,vertica_writer.crm.tpp_tpp,vertica_writer.analytics.b2b_contract
iterator_v2: 1630,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.profit_metric_direct_supply
iterator_v2: 1271,vertica_writer.attribution.sessions_overwrite,vertica_writer.dm_maker_sandbox.blog_article_economics_v6
iterator_v2: 746,vertica_writer.asterisk.agent,vertica_writer.dm_maker_sandbox.inc_res_cost_model_action_log
iterator_v2: 1436,vertica_writer.static.market_to_country,vertica_writer.analytics.kpis_revenue_multichannel
iterator_v2: 1164,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.booking_process_v2
iterator_v2: 1456,vertica_writer.extranet.hotels_roomcategory,vertica_writer.dm_maker_sandbox.extranet_rates_data_aggregated_snapshot_v4
iterator_v2: 1501,vertica_writer.google_spreadsheet.tpp_distribution_control_bans,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds
iterator_v2: 1214,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v8
iterator_v2: 960,vertica_writer.hotcore.suppliers_connection_history,vertica_writer.dm_maker_sandbox.tpp_feed_status_v01
iterator_v2: 1532,vertica_writer.static.region2geo,vertica_writer.dm_maker_sandbox.otahotel_to_actual_extranet_hotel
iterator_v2: 1560,vertica_writer.crm.auth_user,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 674,vertica_writer.analytics.hit_funnel,vertica_writer.media.sessions_media_alpha
iterator_v2: 725,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.partners_looks_chain_v2
iterator_v2: 1137,vertica_writer.content.importer_ng_importersession,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 410,vertica_writer.metasearch.trivago_campaign_cpa_targets,vertica_writer.analytics.meta_costs
iterator_v2: 219,vertica_writer.mailota.mail_mailcontact,vertica_writer.dm_maker_sandbox.mail_history_temporary
iterator_v2: 534,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_v2
iterator_v2: 605,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.session_channel_level_v2
iterator_v2: 113,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.b2b_booking
iterator_v2: 1179,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.attribution_order_hotel_channels_mk_v1
iterator_v2: 1357,vertica_writer.analytics.attribution_order_hotel_channels,vertica_writer.dm_maker_sandbox.blog_article_economics_v7
iterator_v2: 216,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.metasearch_costs_old
iterator_v2: 1125,vertica_writer.analytics.calendar,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1405,vertica_writer.analytics.hotel_availability,vertica_writer.dm_maker_sandbox.customisation_metrics_dynamics
iterator_v2: 1106,vertica_writer.partners.b2b_b2bordergrouplog_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1383,vertica_writer.analytics.upsell,vertica_writer.dm_maker_sandbox.session_multichannel_v6
iterator_v2: 1562,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 1650,vertica_writer.crm.supply_supply,vertica_writer.dm_maker_sandbox.apart_fraud_RnA
iterator_v2: 1652,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.extranet_inventory_data_v1
iterator_v2: 1049,vertica_writer.dimensions.session_channel_level,vertica_writer.analytics.cost_marketing
iterator_v2: 41,vertica_writer.media.intentmedia_add_revenue,vertica_writer.media.sessions_intentmedia
iterator_v2: 1098,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.stat_crm_hotel_priority_data
iterator_v2: 790,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.payota_data_v5
iterator_v2: 1349,vertica_writer.analytics.extranet_availability,vertica_writer.dm_maker_sandbox.stat_crm_hotel_priority_data_v2
iterator_v2: 513,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.matching_dashboard_data
iterator_v2: 1492,vertica_writer.hotcore.hotel_bans_otahotels,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds
iterator_v1: 75,vertica_writer.analytics.product_sessions,vertica_writer.analytics.product_bookings_v2
iterator_v2: 688,vertica_writer.logs.dzen_access_json,vertica_writer.analytics.web_analytics_monitoring_tracking
iterator_v2: 325,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.booking_channels_for_test
iterator_v2: 666,vertica_writer.content.suppliers,vertica_writer.analytics.supplier
iterator_v2: 1593,vertica_writer.crm.tickets_relatedobject,vertica_writer.dm_maker_sandbox.opscost_attribution_entities
iterator_v2: 1593,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.opscost_attribution_entities
iterator_v2: 1025,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.b2b_ab_data_20210419
iterator_v2: 1130,vertica_writer.crm.handmade_upsell_action_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 684,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.booking_base_v2
iterator_v2: 1368,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.order_session_2000
iterator_v2: 1442,vertica_writer.ostrota.orders_orderitem,vertica_writer.dm_maker_sandbox.order_market1
iterator_v2: 517,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.ctz_sessions_revenue
iterator_v2: 1159,vertica_writer.partners.b2b_creditlimitlog,vertica_writer.dm_maker_sandbox.b2b_antifraud_tool_v2
iterator_v2: 1074,vertica_writer.extranet.hotels_roomcategory,vertica_writer.dm_maker_sandbox.extranet_hotel_parameter_tracker_rates
iterator_v2: 625,vertica_writer.metasearch.tripadvisor_costs,vertica_writer.analytics.cost_cpc
iterator_v2: 747,vertica_writer.public.ticket_history,vertica_writer.dm_maker_sandbox.precheck_cost_model_action_log
iterator_v2: 371,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard
iterator_v2: 1167,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v6
iterator_v2: 972,vertica_writer.partners.b2b_b2bpartnershiprequest,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel
iterator_v2: 834,vertica_writer.actualize.order_metaorder_item,vertica_writer.dm_maker_sandbox.order_payota_b2b
iterator_v2: 61,vertica_writer.analytics.kpis_sessions,vertica_writer.analytics.kpis_attribution_normalized
iterator_v2: 1035,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.cancellation_dashboard_net_bookings_daily_v10
iterator_v2: 454,vertica_writer.content.otachain_owner,vertica_writer.dm_maker_sandbox.bar_coverage
iterator_v2: 1283,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.session_multichannel_v4
iterator_v2: 436,vertica_writer.content.content_otahotel_description,vertica_writer.dm_maker_sandbox.description_snapshot
iterator_v2: 1561,vertica_writer.crm.action_log_action,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 1033,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v2
iterator_v2: 1269,vertica_writer.partners.avia_orderitem,vertica_writer.dm_maker_sandbox.b2b_account_manager_desktop_v2
iterator_v2: 913,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.b2b_kind_self_calculations
iterator_v2: 1355,vertica_writer.partners.partners_profile,vertica_writer.dm_maker_sandbox.b2b_partners_splitting_v2
iterator_v2: 660,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.sessions_adunits_v2
iterator_v2: 1466,vertica_writer.extranet.hotels_rateplan_room_categories,vertica_writer.analytics.extranet_rate_data_aggregated_snapshot
iterator_v2: 1139,vertica_writer.globaluser.globaluser_version_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 314,vertica_writer.metasearch.reports_wego_zenhotels_daily,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v1: 71,vertica_writer.analytics.orderitem_orderlog_error,vertica_writer.analytics.order_fatal_error
iterator_v2: 887,vertica_writer.diadmin.marketing_costtype,vertica_writer.analytics.cost_marketing
iterator_v2: 779,vertica_writer.payota.payment,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v3
iterator_v1: 60,vertica_writer.analytics.sessions,vertica_writer.fortemp.product_sessions
iterator_v2: 162,vertica_writer.mobile.mytarget_campaign_reports,vertica_writer.dm_maker_sandbox.mytarget_cost_per_session
iterator_v2: 559,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_adunits
iterator_v2: 787,vertica_writer.partners.stat_orderitem,vertica_writer.dm_maker_sandbox.payota_data_v4
iterator_v2: 1123,vertica_writer.ostrota.fidelity_fidelitysegmentaccount_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 574,vertica_writer.media.itm_revenue_sessions,vertica_writer.dm_maker_sandbox.session_adunit
iterator_v2: 453,vertica_writer.content.otachain_owner,vertica_writer.dm_maker_sandbox.bar_rates_coverage
iterator_v2: 1581,vertica_writer.dm_maker_sandbox.attribution_proportion_smearing,vertica_writer.dm_maker_sandbox.attribution_order_hotel_channels
iterator_v2: 177,vertica_writer.public.session_v2,vertica_writer.dm_maker_sandbox.facebook_cost_per_session_
iterator_v2: 592,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.uniue_hotels_by_provider
iterator_v2: 1447,vertica_writer.extranet.hotels_rateplantag,vertica_writer.dm_maker_sandbox.extranet_rates_data_aggregated_snapshot_v2
iterator_v2: 377,vertica_writer.weblogs2.hc_block,vertica_writer.dm_maker_sandbox.sessions_doubleclick_v3
iterator_v2: 1525,vertica_writer.crm.tickets_relatedobject,vertica_writer.dm_maker_sandbox.opscost_attribution_actions
iterator_v2: 868,vertica_writer.dm_maker_sandbox.ops_costs_front_office_employee_data,vertica_writer.dm_maker_sandbox.ops_costs_front_office_final
iterator_v2: 1224,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.session_multichannel_v2
iterator_v2: 1647,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.order_vat
iterator_v2: 514,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.fidelity_transactions_economics
iterator_v2: 993,vertica_writer.content.content_snapshot,vertica_writer.dm_maker_sandbox.new_hotels_report_v0
iterator_v2: 1011,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.b2b_market_dashboard_v2
iterator_v2: 1292,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.too_many_cards_overpay
iterator_v2: 1127,vertica_writer.diadmin.antifraud_fraudulentorder_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 874,vertica_writer.public.region,vertica_writer.dm_maker_sandbox.search_destination
iterator_v2: 561,vertica_writer.crm.tpp,vertica_writer.dm_maker_sandbox.matching_dashboard_data
iterator_v2: 433,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.amenity_agg
iterator_v2: 904,vertica_writer.analytics.order_base_history,vertica_writer.dm_maker_sandbox.order_base_history_info
iterator_v2: 890,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.search_destination_v2
iterator_v2: 461,vertica_writer.partners.partners_partner,vertica_writer.analytics.b2b_partner_portrait
iterator_v2: 1511,vertica_writer.hotcore.hotel_bans,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds
iterator_v2: 1008,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.sales_structure_v11
iterator_v2: 1136,vertica_writer.hotcore.bans_modifier,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 787,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.payota_data_v4
iterator_v2: 1468,vertica_writer.static.shipping_type,vertica_writer.dm_maker_sandbox.order_channel_level_2
iterator_v2: 661,vertica_writer.diadmin.marketing_costtype,vertica_writer.analytics.cost_cpc
iterator_v2: 886,vertica_writer.diadmin.marketing_costtype,vertica_writer.analytics.cost_marketing
iterator_v2: 479,vertica_writer.public.session_v2,vertica_writer.dm_maker_sandbox.blog_sessions
iterator_v2: 592,vertica_writer.analytics.supplier_otahotel_pricing_history,vertica_writer.dm_maker_sandbox.uniue_hotels_by_provider
iterator_v2: 907,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_sales_manager_desktop
iterator_v2: 510,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.matching_dashboard_data
iterator_v2: 1466,vertica_writer.extranet.hotels_rateplantag,vertica_writer.analytics.extranet_rate_data_aggregated_snapshot
iterator_v2: 601,vertica_writer.analytics.sessions,vertica_writer.analytics.session_yield
iterator_v2: 607,vertica_writer.analytics.dc_requests_issued,vertica_writer.dm_maker_sandbox.dc_requests_issued
iterator_v1: 31,vertica_writer.metasearch.reports_wego_zenhotels_daily,vertica_writer.analytics.cpc_cost
iterator_v2: 852,vertica_writer.asterisk.cdr_channels,vertica_writer.dm_maker_sandbox.ops_costs_front_office_final
iterator_v2: 318,vertica_writer.content.otahotel_content,vertica_writer.analytics_sandbox.metasearch_cost_20190530
iterator_v2: 1126,vertica_writer.ppc.google_adgroup,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1562,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 809,vertica_writer.logs.dzen_access_json,vertica_writer.analytics.web_analytics_monitoring_hc_listener_endpoints
iterator_v2: 1584,vertica_writer.ostrota.anti_fraud_antifraudorderitemresult,vertica_writer.dm_maker_sandbox.serp_analytics_mart_v2
iterator_v2: 853,vertica_writer.ostrota.orders_orderitem,vertica_writer.dm_maker_sandbox.payota_b2c_v2
iterator_v2: 1563,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 98,vertica_writer.v_catalog.columns,vertica_writer.dm_maker_sandbox.table_last_usage
iterator_v2: 1346,vertica_writer.analytics.extranet_availability,vertica_writer.dm_maker_sandbox.stat_crm_hotel_priority_data_v2
iterator_v2: 757,vertica_writer.static.booking_channel_source,vertica_writer.dm_maker_sandbox.booking_channels_v7
iterator_v2: 1110,vertica_writer.static.booking_channel_source,vertica_writer.olap.channel_smearing_moto
iterator_v2: 334,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.sid_webusers
iterator_v2: 1437,vertica_writer.static.market_to_country,vertica_writer.analytics.kpis_revenue_multichannel
iterator_v2: 1042,vertica_writer.hotcore.request_ods,vertica_writer.dm_maker_sandbox.extranet_availability_metric_serp
iterator_v2: 1024,vertica_writer.static.geo_info,vertica_writer.dm_maker_sandbox.direct_acquisition_prioritization_snapshot
iterator_v2: 1453,vertica_writer.dm_maker_sandbox.session_channel,vertica_writer.dm_maker_sandbox.session_channel
iterator_v2: 575,vertica_writer.public.booking_channels_pos_history,vertica_writer.dm_maker_sandbox.session_channel_level
iterator_v2: 852,vertica_writer.asterisk.agent,vertica_writer.dm_maker_sandbox.ops_costs_front_office_final
iterator_v2: 1106,vertica_writer.partners.b2b_b2bordergroup,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1142,vertica_writer.partners.railway_passengerlayover_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1007,vertica_writer.pb.arrival_date,vertica_writer.dm_maker_sandbox.analytics_cancellation_model_order_features
iterator_v2: 535,vertica_writer.modeldata.quality_metrics,vertica_writer.dm_maker_sandbox.serp_content
iterator_v2: 1055,vertica_writer.partners.partners_profile,vertica_writer.dm_maker_sandbox.b2b_partner_last_login
iterator_v2: 749,vertica_writer.weblogs2.hc_block,vertica_writer.dm_maker_sandbox.sessions_other_media_test
iterator_v2: 439,vertica_writer.analytics.region,vertica_writer.rnd.source_incidents_tpp
iterator_v2: 1154,vertica_writer.hotcore.request_ods,vertica_writer.analytics.otahotel_requests_stat
iterator_v2: 810,vertica_writer.crm.calls,vertica_writer.dm_maker_sandbox.ops_costs_incident_prevention_action_log_history
iterator_v2: 813,vertica_writer.analytics.agent_team_history,vertica_writer.dm_maker_sandbox.ops_costs_incident_prevention_action_log
iterator_v2: 369,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.facebook_cost_per_campaign
iterator_v2: 1471,vertica_writer.crm.tickets_relatedobject,vertica_writer.dm_maker_sandbox.opscost_front_inboxes
iterator_v2: 809,vertica_writer.analytics.web_analytics_monitoring_hc_listener_endpoints,vertica_writer.analytics.web_analytics_monitoring_hc_listener_endpoints
iterator_v2: 749,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_other_media_test
iterator_v2: 1127,vertica_writer.diadmin.antifraud_fraudulentorder,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1401,vertica_writer.crm.action_log_actionlogsubject,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts
iterator_v2: 306,vertica_writer.attribution.sessions_overwrite,vertica_writer.dm_maker_sandbox.booking_channels_normal
iterator_v2: 341,vertica_writer.content.otahotel_content,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1082,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v5
iterator_v1: 4,vertica_writer.hotcore.request_ods,vertica_writer.analytics.hotcore_request_property
iterator_v2: 248,vertica_writer.public.booking_cancellation,vertica_writer.dm_maker_sandbox.booking_channels_not_paid_locale_normal
iterator_v2: 863,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.search_destination
iterator_v2: 762,vertica_writer.analytics.ticket,vertica_writer.dm_maker_sandbox.ops_costs_extra_services_action_log
iterator_v1: 5,vertica_writer.metasearch.kraken_rates_city,vertica_writer.analytics.kraken_prices_comparison
iterator_v2: 1512,vertica_writer.hotcore.hotel_bans_country_ids,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds_dashboard
iterator_v2: 1147,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.b2b_product_monitoring_tool_v2
iterator_v2: 1165,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.order_extra_profit_override_v6
iterator_v2: 942,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.tpp_feed_status__
iterator_v2: 244,vertica_writer.static.smearing_channels_excluded,vertica_writer.dm_maker_sandbox.booking_channels_not_paid_locale_normal
iterator_v2: 581,vertica_writer.analytics.hit_funnel,vertica_writer.media.sessions_clicktripz
iterator_v2: 973,vertica_writer.analytics.calendar,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel
iterator_v2: 1560,vertica_writer.static.geo_info,vertica_writer.dm_maker_sandbox.direct_supply_actions_cohorts_v1
iterator_v2: 770,vertica_writer.payota.payment,vertica_writer.dm_maker_sandbox.payota_data_v3
iterator_v2: 1019,vertica_writer.ostrota.orders_orderitem,vertica_writer.analytics.order_payment_b2c
iterator_v2: 1431,vertica_writer.accota.api_booking,vertica_writer.analytics.order_vat
iterator_v2: 1099,vertica_writer.dm_maker_sandbox.supplier_why_not_selling,vertica_writer.dm_maker_sandbox.supplier_why_not_selling_dashboard_data
iterator_v2: 295,vertica_writer.ostrota.orders_orderitem,vertica_writer.analytics.failed_orderitem
iterator_v2: 810,vertica_writer.asterisk.agent,vertica_writer.dm_maker_sandbox.ops_costs_incident_prevention_action_log_history
iterator_v2: 559,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.sessions_adunits
iterator_v2: 1382,vertica_writer.ostrota.fidelity_fidelitypromise,vertica_writer.dm_maker_sandbox.session_multichannel_v6
iterator_v2: 1463,vertica_writer.static.brand_name,vertica_writer.analytics.fraudulent_order_detailed
iterator_v2: 502,vertica_writer.media.report_clicktripz_daily,vertica_writer.dm_maker_sandbox.ctz_session_test
iterator_v2: 1085,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.cancellation_dashboard_net_bookings_daily_val_utc
iterator_v2: 1058,vertica_writer.analytics.hotel,vertica_writer.dm_maker_sandbox.extranet_availability_metric_serp
iterator_v2: 517,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.ctz_sessions_revenue
iterator_v2: 1146,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.b2b_product_monitoring_tool_v2
iterator_v2: 1556,vertica_writer.etl.vertica_aggregate_subscriptions,vertica_writer.dm_maker_sandbox.data_quality_table_score
iterator_v2: 1352,vertica_writer.analytics.attribution_order_hotel_channels,vertica_writer.dm_maker_sandbox.blog_article_economics_v6
iterator_v2: 1140,vertica_writer.partners.partners_apiauthkey,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1455,vertica_writer.extranet.hotels_rateplan_tags,vertica_writer.dm_maker_sandbox.extranet_rates_data_aggregated_snapshot_v3
iterator_v2: 468,vertica_writer.content.otahotel_content,vertica_writer.analytics.bar_prices
iterator_v2: 845,vertica_writer.hotcore.request_partner,vertica_writer.dm_maker_sandbox.b2b_api_hotel_page_request_v3
iterator_v2: 1433,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.kpis_revenue_multichannel_v3
iterator_v2: 412,vertica_writer.public.booking,vertica_writer.analytics.meta_costs
iterator_v2: 781,vertica_writer.analytics.order_pos,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v4
iterator_v2: 1498,vertica_writer.analytics.order_session_attribute,vertica_writer.analytics.order_repeat_webuser
iterator_v2: 1301,vertica_writer.hotcore.metarates_daily,vertica_writer.analytics.supplier_pricing_changes_by_country
iterator_v2: 1032,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_data_v1
iterator_v2: 1098,vertica_writer.google_spreadsheet.supply_priority_tool_priority_tool_partners_data,vertica_writer.dm_maker_sandbox.stat_crm_hotel_priority_data
iterator_v2: 1037,vertica_writer.analytics.hotel,vertica_writer.dm_maker_sandbox.extranet_availability_metric_v5
iterator_v2: 1403,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.kpis_revenue_multichannel_v2
